-23, -528, -179
64, -434, -33
-31, -413, -181
-118, -363, -131
-148, -297, -130
-54, -259, -267
-190, -355, -209
-278, -409, -68
-302, -288, 68
-260, -369, 127
-313, -235, 233
-221, -321, 227
-169, -243, 285
-261, -120, 350
-140, -174, 274
-48, -207, 343
1, -358, 267
32, -404, 201
220, -369, 222
197, -428, 186
258, -402, 208
235, -379, 168
253, -260, 85
103, -366, 16
216, -239, -13
100, -201, -91
146, -156, -134
26, -214, -161
-88, -173, -300
-123, -125, -283
-101, -106, -365
-136, -59, -239
-175, -74, -143
-160, 35, -241
-138, 24, -191
-146, -23, -118
-160, -7, 6
-299, -33, 66
-269, 75, 144
-206, -29, 183
-56, 47, 71
21, 25, 100
215, -91, 100
236, -22, 140
293, -24, 150
169, 148, -97
343, -134, -109
32, -182, 53
92, -243, -127
93, -24, -305
91, -76, -190
-96, 96, -299
-104, 141, -214
-107, 115, -112
-204, 162, -64
-203, 296, -55
-152, 348, 30
-275, 282, 103
-224, 170, 171
-230, 266, 200
-130, 207, 229
-39, 264, 81
44, 205, 43
125, 222, 59
82, 220, 51
239, 253, 68
82, 299, -28
135, 193, -91
107, 177, -124
80, 231, -223
120, 269, -214
-32, 294, -107
-89, 282, -163
-91, 153, -90
-60, 240, -17
-90, 293, 56
-70, 393, -19
-119, 440, 111
-48, 524, 138
4, 489, 104
40, 479, 88
81, 359, 45
-54, 444, -66
94, 467, -51
-86, 375, -39
-119, 474, 8
-46, 539, -5
-46, 612, 114
70, 646, 104
75, 646, 34
54, 539, -64
31, 667, -88
-38, 639, -78
-75, 736, 23
-17, 806, 63
69, 719, -129
9, 824, -5
35, 754, -93
-2, 888, -55
-261, -369, 128
-314, -232, 233
-259, -363, 131
-314, -234, 230
